"1",23586,4155.76952960491
"2",144983,2266.6361253415
"3",100131510,1746.23247580022
"4",347736,1287.32845881886
"5",3480,980.937792097034
"6",781,936.689862043346
"7",284485,903.177621796069
"8",25804,835.38733195792
"9",114987,743.113449128952
"10",50805,716.825985333687
"11",79905,712.295429150109
"12",25865,654.625940173469
"13",145482,638.199928756707
"14",999,635.775153773944
"15",401152,563.647783976739
"16",9370,468.861083625051
"17",5573,400.84155495045
"18",172,395.78889195929
"19",2918,295.398458637247
"20",11138,293.970289866039
"21",7320,281.157767953765
"22",3213,267.134992419043
"23",29122,258.917287580053
"24",54848,256.169576552782
"25",84663,248.53211125413
"26",11174,242.67547912346
"27",5243,241.913957433342
"28",51534,227.393869267761
"29",400509,227.053289409449
"30",57620,211.38594138585
"31",7157,209.902584214807
"32",7341,205.73863555451
"33",9262,205.276165278294
"34",10426,204.840367955671
"35",441430,199.12763197549
"36",644128,194.471837746697
"37",1889,190.458243031699
"38",55236,185.927505332377
"39",90324,178.483635828204
"40",30812,177.676792906433
"41",123207,176.928260864041
"42",51088,174.462072377431
"43",340547,174.194509702145
"44",25943,172.696988190966
"45",10885,169.652261778222
"46",858,143.022592085185
"47",627,140.497316894296
"48",55355,137.935822015391
"49",140880,131.87697545038
"50",57449,116.316268300478
